note_id,name,type,locale,title,content,content_data,status,source,date_created,date_reminder,is_snoozable,layout,image,is_deleted,is_read,icon
1,new_in_app_marketplace_2021,info,en_US,Customize your store with extensions,"Check out our NEW Extensions tab to see our favorite extensions for customizing your store, and discover the most popular extensions in the WooCommerce Marketplace.",{},unactioned,woocommerce.com,2022-03-15 20:26:41,,0,plain,"",1,0,info
2,wayflyer_bnpl_q4_2021,marketing,en_US,Grow your business with funding through Wayflyer,"Fast, flexible financing to boost cash flow and help your business grow – one fee, no interest rates, penalties, equity, or personal guarantees. Based on your store’s performance, Wayflyer provides funding and analytical insights to invest in your business.",{},pending,woocommerce.com,2022-03-15 20:26:41,,0,plain,"",0,0,info
3,wc_shipping_mobile_app_usps_q4_2021,marketing,en_US,Print and manage your shipping labels with WooCommerce Shipping and the WooCommerce Mobile App,"Save time by printing, purchasing, refunding, and tracking shipping labels generated by <a href=""https://woocommerce.com/woocommerce-shipping/"">WooCommerce Shipping</a> – all directly from your mobile device!",{},pending,woocommerce.com,2022-03-15 20:26:43,,0,plain,"",0,0,info
4,wc_shipping_mobile_app_q4_2021,marketing,en_US,Print and manage your shipping labels with the WooCommerce Mobile App,"Save time by printing, purchasing, refunding, and tracking shipping labels generated by <a href=""https://woocommerce.com/woocommerce-shipping/"">WooCommerce Shipping</a> – all directly from your mobile device!",{},pending,woocommerce.com,2022-03-15 20:26:45,,0,plain,"",0,0,info
5,ecomm-need-help-setting-up-your-store,info,en_US,Need help setting up your Store?,"Schedule a free 30-min <a href=""https://wordpress.com/support/concierge-support/"">quick start session</a> and get help from our specialists. We’re happy to walk through setup steps, show you around the WordPress.com dashboard, troubleshoot any issues you may have, and help you the find the features you need to accomplish your goals for your site.",{},pending,woocommerce.com,2022-03-15 20:26:46,,0,plain,"",0,0,info
6,woocommerce-services,info,en_US,WooCommerce Shipping & Tax,"WooCommerce Shipping &amp; Tax helps get your store ""ready to sell"" as quickly as possible. You create your products. We take care of tax calculation, payment processing, and shipping label printing! Learn more about the extension that you just installed.",{},pending,woocommerce.com,2022-03-15 20:26:47,,0,plain,"",0,0,info
7,ecomm-unique-shopping-experience,info,en_US,For a shopping experience as unique as your customers,"Product Add-Ons allow your customers to personalize products while they're shopping on your online store. No more follow-up email requests—customers get what they want, before they're done checking out. Learn more about this extension that comes included in your plan.",{},pending,woocommerce.com,2022-03-15 20:26:48,,0,plain,"",0,0,info
8,wc-admin-getting-started-in-ecommerce,info,en_US,Getting Started in eCommerce - webinar,We want to make eCommerce and this process of getting started as easy as possible for you. Watch this webinar to get tips on how to have our store up and running in a breeze.,{},pending,woocommerce.com,2022-03-15 20:26:48,,0,plain,"",0,0,info
9,your-first-product,info,en_US,Your first product,"That’s huge! You’re well on your way to building a successful online store — now it’s time to think about how you’ll fulfill your orders.<br /><br />Read our shipping guide to learn best practices and options for putting together your shipping strategy. And for WooCommerce stores in the United States, you can print discounted shipping labels via USPS with <a href=""https://href.li/?https://woocommerce.com/shipping"" target=""_blank"">WooCommerce Shipping</a>.",{},pending,woocommerce.com,2022-03-15 20:26:50,,0,plain,"",0,0,info
10,wc-admin-optimizing-the-checkout-flow,info,en_US,Optimizing the checkout flow,It’s crucial to get your store’s checkout as smooth as possible to avoid losing sales. Let’s take a look at how you can optimize the checkout experience for your shoppers.,{},pending,woocommerce.com,2022-03-15 20:26:51,,0,plain,"",0,0,info
11,wc-admin-first-five-things-to-customize,info,en_US,The first 5 things to customize in your store,"Deciding what to start with first is tricky. To help you properly prioritize, we’ve put together this short list of the first few things you should customize in WooCommerce.",{},pending,woocommerce.com,2022-03-15 20:26:53,,0,plain,"",0,0,info
12,wc-payments-qualitative-feedback,info,en_US,WooCommerce Payments setup - let us know what you think,Congrats on enabling WooCommerce Payments for your store. Please share your feedback in this 2 minute survey to help us improve the setup process.,{},pending,woocommerce.com,2022-03-15 20:26:54,,0,plain,"",0,0,info
13,share-your-feedback-on-paypal,info,en_US,Share your feedback on PayPal,Share your feedback in this 2 minute survey about how we can make the process of accepting payments more useful for your store.,{},pending,woocommerce.com,2022-03-15 20:26:56,,0,plain,"",0,0,info
14,google_listings_and_ads_install,marketing,en_US,Drive traffic and sales with Google,"Reach online shoppers to drive traffic and sales for your store by showcasing products across Google, for free or with ads.",{},pending,woocommerce.com,2022-03-15 20:26:57,,0,plain,"",0,0,info
15,wc-subscriptions-security-update-3-0-15,info,en_US,WooCommerce Subscriptions security update!,"We recently released an important security update to WooCommerce Subscriptions. To ensure your site’s data is protected, please upgrade <strong>WooCommerce Subscriptions to version 3.0.15</strong> or later.<br /><br />Click the button below to view and update to the latest Subscriptions version, or log in to <a href=""https://woocommerce.com/my-dashboard"">WooCommerce.com Dashboard</a> and navigate to your <strong>Downloads</strong> page.<br /><br />We recommend always using the latest version of WooCommerce Subscriptions, and other software running on your site, to ensure maximum security.<br /><br />If you have any questions we are here to help — just <a href=""https://woocommerce.com/my-account/create-a-ticket/"">open a ticket</a>.",{},pending,woocommerce.com,2022-03-15 20:26:59,,0,plain,"",0,0,info
16,woocommerce-core-update-5-4-0,info,en_US,Update to WooCommerce 5.4.1 now,WooCommerce 5.4.1 addresses a checkout issue discovered in WooCommerce 5.4. We recommend upgrading to WooCommerce 5.4.1 as soon as possible.,{},pending,woocommerce.com,2022-03-15 20:27:00,,0,plain,"",0,0,info
17,wcpay-promo-2020-11,marketing,en_US,wcpay-promo-2020-11,wcpay-promo-2020-11,{},pending,woocommerce.com,2022-03-15 20:27:01,,0,plain,"",0,0,info
18,wcpay-promo-2020-12,marketing,en_US,wcpay-promo-2020-12,wcpay-promo-2020-12,{},pending,woocommerce.com,2022-03-15 20:27:02,,0,plain,"",0,0,info
19,ppxo-pps-upgrade-paypal-payments-1,info,en_US,Get the latest PayPal extension for WooCommerce,"Heads up! There’s a new PayPal on the block!<br /><br />Now is a great time to upgrade to our latest <a href=""https://woocommerce.com/products/woocommerce-paypal-payments/"" target=""_blank"">PayPal extension</a> to continue to receive support and updates with PayPal.<br /><br />Get access to a full suite of PayPal payment methods, extensive currency and country coverage, and pay later options with the all-new PayPal extension for WooCommerce.",{},pending,woocommerce.com,2022-03-15 20:27:02,,0,plain,"",0,0,info
20,ppxo-pps-upgrade-paypal-payments-1,info,en_US,Get the latest PayPal extension for WooCommerce,"Heads up! There’s a new PayPal on the block!<br /><br />Now is a great time to upgrade to our latest <a href=""https://woocommerce.com/products/woocommerce-paypal-payments/"" target=""_blank"">PayPal extension</a> to continue to receive support and updates with PayPal.<br /><br />Get access to a full suite of PayPal payment methods, extensive currency and country coverage, and pay later options with the all-new PayPal extension for WooCommerce.",{},pending,woocommerce.com,2022-03-15 20:27:02,,0,plain,"",0,0,info
21,ppxo-pps-upgrade-paypal-payments-2,info,en_US,Upgrade your PayPal experience!,"Get access to a full suite of PayPal payment methods, extensive currency and country coverage, offer subscription and recurring payments, and the new PayPal pay later options.<br /><br />Start using our <a href=""https://woocommerce.com/products/woocommerce-paypal-payments/"" target=""_blank"">latest PayPal today</a> to continue to receive support and updates.",{},pending,woocommerce.com,2022-03-15 20:27:03,,0,plain,"",0,0,info
22,ppxo-pps-upgrade-paypal-payments-2,info,en_US,Upgrade your PayPal experience!,"Get access to a full suite of PayPal payment methods, extensive currency and country coverage, offer subscription and recurring payments, and the new PayPal pay later options.<br /><br />Start using our <a href=""https://woocommerce.com/products/woocommerce-paypal-payments/"" target=""_blank"">latest PayPal today</a> to continue to receive support and updates.",{},pending,woocommerce.com,2022-03-15 20:27:03,,0,plain,"",0,0,info
23,woocommerce-core-sqli-july-2021-need-to-update,update,en_US,Action required: Critical vulnerabilities in WooCommerce,"In response to a critical vulnerability identified on July 13, 2021, we are working with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br />Our investigation into this vulnerability is ongoing, but <strong>we wanted to let you know now about the importance of updating immediately</strong>.<br /><br />For more information on which actions you should take, as well as answers to FAQs, please urgently review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:04,,0,plain,"",0,0,info
24,woocommerce-core-sqli-july-2021-need-to-update,update,en_US,Action required: Critical vulnerabilities in WooCommerce,"In response to a critical vulnerability identified on July 13, 2021, we are working with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br />Our investigation into this vulnerability is ongoing, but <strong>we wanted to let you know now about the importance of updating immediately</strong>.<br /><br />For more information on which actions you should take, as well as answers to FAQs, please urgently review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:04,,0,plain,"",0,0,info
25,woocommerce-blocks-sqli-july-2021-need-to-update,update,en_US,Action required: Critical vulnerabilities in WooCommerce Blocks,"In response to a critical vulnerability identified on July 13, 2021, we are working with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br />Our investigation into this vulnerability is ongoing, but <strong>we wanted to let you know now about the importance of updating immediately</strong>.<br /><br />For more information on which actions you should take, as well as answers to FAQs, please urgently review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:05,,0,plain,"",0,0,info
26,woocommerce-blocks-sqli-july-2021-need-to-update,update,en_US,Action required: Critical vulnerabilities in WooCommerce Blocks,"In response to a critical vulnerability identified on July 13, 2021, we are working with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br />Our investigation into this vulnerability is ongoing, but <strong>we wanted to let you know now about the importance of updating immediately</strong>.<br /><br />For more information on which actions you should take, as well as answers to FAQs, please urgently review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:05,,0,plain,"",0,0,info
27,woocommerce-core-sqli-july-2021-store-patched,update,en_US,Solved: Critical vulnerabilities patched in WooCommerce,"In response to a critical vulnerability identified on July 13, 2021, we worked with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br /><strong>Your store has been updated to the latest secure version(s)</strong>. For more information and answers to FAQs, please review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:07,,0,plain,"",0,0,info
28,woocommerce-core-sqli-july-2021-store-patched,update,en_US,Solved: Critical vulnerabilities patched in WooCommerce,"In response to a critical vulnerability identified on July 13, 2021, we worked with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br /><strong>Your store has been updated to the latest secure version(s)</strong>. For more information and answers to FAQs, please review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:07,,0,plain,"",0,0,info
29,woocommerce-blocks-sqli-july-2021-store-patched,update,en_US,Solved: Critical vulnerabilities patched in WooCommerce Blocks,"In response to a critical vulnerability identified on July 13, 2021, we worked with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br /><strong>Your store has been updated to the latest secure version(s)</strong>. For more information and answers to FAQs, please review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:09,,0,plain,"",0,0,info
30,woocommerce-blocks-sqli-july-2021-store-patched,update,en_US,Solved: Critical vulnerabilities patched in WooCommerce Blocks,"In response to a critical vulnerability identified on July 13, 2021, we worked with the WordPress Plugins Team to deploy software updates to stores running WooCommerce (versions 3.3 to 5.5) and the WooCommerce Blocks feature plugin (versions 2.5 to 5.5).<br /><br /><strong>Your store has been updated to the latest secure version(s)</strong>. For more information and answers to FAQs, please review our blog post detailing this issue.",{},pending,woocommerce.com,2022-03-15 20:27:09,,0,plain,"",0,0,info
31,habit-moment-survey,marketing,en_US,We’re all ears! Share your experience so far with WooCommerce,"We’d love your input to shape the future of WooCommerce together. Feel free to share any feedback, ideas or suggestions that you have.",{},pending,woocommerce.com,2022-03-15 20:27:10,,0,plain,"",0,0,info
32,habit-moment-survey,marketing,en_US,We’re all ears! Share your experience so far with WooCommerce,"We’d love your input to shape the future of WooCommerce together. Feel free to share any feedback, ideas or suggestions that you have.",{},pending,woocommerce.com,2022-03-15 20:27:10,,0,plain,"",0,0,info
33,ecomm-wc-navigation-survey,info,en_US,We’d like your feedback on the WooCommerce navigation,We’re making improvements to the WooCommerce navigation and would love your feedback. Share your experience in this 2 minute survey.,{},pending,woocommerce.com,2022-03-15 20:27:11,,0,plain,"",0,0,info
34,ecomm-wc-navigation-survey,info,en_US,We’d like your feedback on the WooCommerce navigation,We’re making improvements to the WooCommerce navigation and would love your feedback. Share your experience in this 2 minute survey.,{},pending,woocommerce.com,2022-03-15 20:27:11,,0,plain,"",0,0,info
35,wcpay_applepay_q1_2022,marketing,en_US,Increase conversions with Apple Pay – just like Diane does,"See how Diane from <a href=""https://woocommerce.com/posts/lady-dye-yarns-from-crafts-to-activism-with-woocommerce/?utm_source=product&amp;utm_medium=inboxnotification&amp;utm_campaign=apple-pay"" target=""_blank"">Lady Dye Yarns</a> uses Apple Pay to provide customers with the fast, secure checkout experience they love. You can, too – Apple Pay is included in WooCommerce Payments. Here's how you can increase conversions by encouraging shoppers to pay with a single tap.",{},pending,woocommerce.com,2022-03-15 20:27:12,,0,plain,"",0,0,info
36,wcpay_applepay_q1_2022,marketing,en_US,Increase conversions with Apple Pay – just like Diane does,"See how Diane from <a href=""https://woocommerce.com/posts/lady-dye-yarns-from-crafts-to-activism-with-woocommerce/?utm_source=product&amp;utm_medium=inboxnotification&amp;utm_campaign=apple-pay"" target=""_blank"">Lady Dye Yarns</a> uses Apple Pay to provide customers with the fast, secure checkout experience they love. You can, too – Apple Pay is included in WooCommerce Payments. Here's how you can increase conversions by encouraging shoppers to pay with a single tap.",{},pending,woocommerce.com,2022-03-15 20:27:12,,0,plain,"",0,0,info
37,stripe_applepay_q1_2022,marketing,en_US,Increase conversions with Apple Pay – just like Thomas does,"Read the inspirational story of <a href=""https://woocommerce.com/posts/incredible-story-of-thomas-trendy-socks-down-syndrome-entrepreneur/?utm_source=product&amp;utm_medium=inboxnotification&amp;utm_campaign=apple-pay"" target=""_blank"">Thomas's Trendy Socks</a> and see how he’s using Apple Pay to provide customers with the fast, secure checkout experience they love. You can, too – ready to turn more visitors into buyers? Accept Apple Pay by selecting Enable express checkouts in Settings &gt; Payments &gt; Stripe.",{},pending,woocommerce.com,2022-03-15 20:27:13,,0,plain,"",0,0,info
38,stripe_applepay_q1_2022,marketing,en_US,Increase conversions with Apple Pay – just like Thomas does,"Read the inspirational story of <a href=""https://woocommerce.com/posts/incredible-story-of-thomas-trendy-socks-down-syndrome-entrepreneur/?utm_source=product&amp;utm_medium=inboxnotification&amp;utm_campaign=apple-pay"" target=""_blank"">Thomas's Trendy Socks</a> and see how he’s using Apple Pay to provide customers with the fast, secure checkout experience they love. You can, too – ready to turn more visitors into buyers? Accept Apple Pay by selecting Enable express checkouts in Settings &gt; Payments &gt; Stripe.",{},pending,woocommerce.com,2022-03-15 20:27:13,,0,plain,"",0,0,info
39,square_applepay_q1_2022,marketing,en_US,Increase conversions with a faster checkout experience,"By enabling Apple Pay in Square, your customers can complete purchases quickly and securely with a single touch or a glance – no lengthy checkout forms necessary. Accept Apple Pay by enabling Digital Wallets within Settings &gt; Payments &gt; Square.",{},pending,woocommerce.com,2022-03-15 20:27:15,,0,plain,"",0,0,info
40,square_applepay_q1_2022,marketing,en_US,Increase conversions with a faster checkout experience,"By enabling Apple Pay in Square, your customers can complete purchases quickly and securely with a single touch or a glance – no lengthy checkout forms necessary. Accept Apple Pay by enabling Digital Wallets within Settings &gt; Payments &gt; Square.",{},pending,woocommerce.com,2022-03-15 20:27:15,,0,plain,"",0,0,info
41,surface_cart_checkout,info,en_US,Introducing the Cart and Checkout blocks!,Increase your store's revenue with the conversion optimized Cart &amp; Checkout WooCommerce blocks available in the WooCommerce Blocks extension.,{},unactioned,woo-gutenberg-products-block,2022-03-15 20:27:16,,0,plain,"",1,0,info
42,woocommerce-core-paypal-march-2022-updated,update,en_US,Security auto-update of WooCommerce,"<strong>Your store has been updated to the latest secure version of WooCommerce</strong>. We worked with WordPress to deploy PayPal Standard security updates for stores running WooCommerce (version 3.5 to 6.3). It’s recommended to disable PayPal Standard, and use <a href=""https://woocommerce.com/products/woocommerce-paypal-payments/"" target=""_blank"">PayPal Payments</a> to accept PayPal.",{},pending,woocommerce.com,2022-03-15 20:27:16,,0,plain,"",0,0,info
43,woocommerce-core-paypal-march-2022-updated,update,en_US,Security auto-update of WooCommerce,"<strong>Your store has been updated to the latest secure version of WooCommerce</strong>. We worked with WordPress to deploy PayPal Standard security updates for stores running WooCommerce (version 3.5 to 6.3). It’s recommended to disable PayPal Standard, and use <a href=""https://woocommerce.com/products/woocommerce-paypal-payments/"" target=""_blank"">PayPal Payments</a> to accept PayPal.",{},pending,woocommerce.com,2022-03-15 20:27:16,,0,plain,"",0,0,info
44,woocommerce-core-paypal-march-2022-updated-nopp,update,en_US,Security auto-update of WooCommerce,<strong>Your store has been updated to the latest secure version of WooCommerce</strong>. We worked with WordPress to deploy security updates related to PayPal Standard payment gateway for stores running WooCommerce (version 3.5 to 6.3).,{},actioned,woocommerce.com,2022-03-15 20:27:17,,0,plain,"",0,1,info
45,woocommerce-core-paypal-march-2022-updated-nopp,update,en_US,Security auto-update of WooCommerce,<strong>Your store has been updated to the latest secure version of WooCommerce</strong>. We worked with WordPress to deploy security updates related to PayPal Standard payment gateway for stores running WooCommerce (version 3.5 to 6.3).,{},actioned,woocommerce.com,2022-03-15 20:27:17,,0,plain,"",0,1,info
46,wc-admin-wc-helper-connection,info,en_US,Connect to WooCommerce.com,Connect to get important product notifications and updates.,{},unactioned,woocommerce-admin,2022-03-15 20:27:18,,0,plain,"",1,0,info
47,wc-admin-update-store-details,info,en_US,Edit your store details if you need to,"Nice work completing your store profile! You can always go back and edit the details you just shared, as needed.",{},unactioned,woocommerce-admin,2022-03-15 20:27:19,,0,plain,"",1,0,info
48,wc-refund-returns-page,info,en_US,Setup a Refund and Returns Policy page to boost your store's credibility.,We have created a sample draft Refund and Returns Policy page for you. Please have a look and update it to fit your store.,{},unactioned,woocommerce-core,2022-03-15 20:29:10,,0,plain,"",1,0,info
